"","gid","id","entidad","distrito","tipo","control","geometry1_","CVE_FED","c_ANPCercana","c_distmin"
"1",1,1,1,1,9,0,NA,101,12,25267.6598136395
"2",2,2,1,2,7,0,NA,102,12,46607.4999376871
"3",3,3,1,3,7,0,NA,103,12,56861.2485517699
"4",1,1,2,1,8,0,NA,201,29,88049.3984003038
"5",2,2,2,2,7,0,NA,202,29,72284.6632506123
"6",3,3,2,3,11,0,NA,203,102,102945.208997355
"7",4,4,2,4,7,0,NA,204,29,89267.5445039259
"8",5,5,2,5,7,0,NA,205,29,111230.052587247
"9",6,6,2,6,7,0,NA,206,29,119884.978770647
"10",7,7,2,7,9,0,NA,207,29,23484.6156775612
"11",8,8,2,8,7,0,NA,208,29,108075.948635378
"12",1,1,3,1,4,0,NA,301,120,136030.763718913
"13",2,2,3,2,4,0,NA,302,95,6388.20257646733
"14",3,1,4,1,10,0,NA,401,16,83219.985207813
"15",4,2,4,2,12,0,NA,402,132,83860.7189155277
"16",1,1,5,1,10,0,NA,501,67,63067.0031797327
"17",2,2,5,2,13,0,NA,502,123,63156.0486244184
"18",3,3,5,3,11,0,NA,503,13,108640.46155144
"19",4,4,5,4,7,0,NA,504,14,33624.6014877656
"20",5,5,5,5,9,0,NA,505,72,123570.609863334
"21",6,6,5,6,7,0,NA,506,72,167875.307585939
"22",7,7,5,7,8,0,NA,507,14,139810.694827752
"23",1,1,6,1,8,0,NA,601,64,9867.41277352207
"24",2,2,6,2,9,0,NA,602,141,55244.9635489598
"25",1,1,7,1,11,0,NA,701,81,4107.79520838556
"26",2,2,7,2,10,0,NA,702,11,43087.9783491426
"27",3,3,7,3,12,0,NA,703,8,26773.8631533313
"28",4,4,7,4,11,0,NA,704,139,55496.2864564921
"29",5,5,7,5,9,0,NA,705,11,51372.1471367084
"30",6,6,7,6,9,0,NA,706,11,21332.5285596539
"31",7,7,7,7,11,0,NA,707,127,36933.0904171706
"32",8,8,7,8,10,0,NA,708,62,53430.0772207032
"33",9,9,7,9,7,0,NA,709,11,8010.61177168126
"34",10,10,7,10,12,0,NA,710,111,30825.5460183219
"35",11,11,7,11,10,0,NA,711,62,42228.1991083097
"36",12,12,7,12,8,0,NA,712,105,34082.1701122616
"37",13,13,7,13,0,0,NA,713,105,39444.4295836182
"38",1,1,8,1,11,0,NA,801,74,35730.3149870486
"39",2,2,8,2,7,0,NA,802,74,95023.3135521538
"40",3,3,8,3,7,0,NA,803,74,45748.7539805244
"41",4,4,8,4,7,0,NA,804,74,48763.6103478107
"42",5,5,8,5,13,0,NA,805,10,116582.11356648
"43",6,6,8,6,7,0,NA,806,32,46851.1929088809
"44",7,7,8,7,13,0,NA,807,82,37232.3463938261
"45",8,8,8,8,8,0,NA,808,32,63855.3242829008
"46",9,9,8,9,4,0,NA,809,168,117474.880812596
"47",1,1,9,1,6,0,NA,901,41,5409.90178498312
"48",2,2,9,2,7,0,NA,902,41,1833.40947437019
"49",3,3,9,3,6,0,NA,903,41,7372.02565543773
"50",4,4,9,4,6,0,NA,904,22,3077.29771279051
"51",5,5,9,5,7,0,NA,905,33,6647.39034860398
"52",6,6,9,6,6,0,NA,906,65,4493.76479584168
"53",7,7,9,7,2,0,NA,907,41,5224.19290563333
"54",8,8,9,8,6,0,NA,908,41,6311.81426697701
"55",9,9,9,9,6,0,NA,909,22,11596.9310323605
"56",10,10,9,10,7,0,NA,910,68,7263.8886659972
"57",11,11,9,11,2,0,NA,911,41,8898.87777213504
"58",12,12,9,12,6,0,NA,912,37,7875.44771552186
"59",13,13,9,13,6,0,NA,913,22,6515.63066236791
"60",14,14,9,14,7,0,NA,914,44,2754.74377382994
"61",15,15,9,15,6,0,NA,915,37,3184.13354787973
"62",16,16,9,16,6,0,NA,916,37,4915.37333896871
"63",17,17,9,17,7,0,NA,917,34,2184.74793180206
"64",18,18,9,18,6,0,NA,918,22,2844.93361934959
"65",19,19,9,19,6,0,NA,919,22,3933.08046020474
"66",20,20,9,20,6,0,NA,920,22,7148.01503540792
"67",21,21,9,21,7,0,NA,921,30,16345.3570347271
"68",22,22,9,22,6,0,NA,922,22,9111.96102014461
"69",23,23,9,23,6,0,NA,923,37,3085.75367179303
"70",24,24,9,24,6,0,NA,924,22,5472.88269718368
"71",1,1,10,1,14,0,NA,1001,75,133716.211055355
"72",2,2,10,2,8,0,NA,1002,72,127570.069421768
"73",3,3,10,3,13,0,NA,1003,91,109827.83673267
"74",4,4,10,4,7,0,NA,1004,91,80845.0518254339
"75",1,1,11,1,11,0,NA,1101,94,34896.0666585532
"76",2,2,11,2,9,0,NA,1102,24,42823.2817407552
"77",3,3,11,3,7,0,NA,1103,181,99877.1484839751
"78",4,4,11,4,9,0,NA,1104,181,51684.7423788232
"79",5,5,11,5,7,0,NA,1105,181,115946.04531482
"80",6,6,11,6,7,0,NA,1106,181,95747.8387151363
"81",7,7,11,7,9,0,NA,1107,60,86827.4269244096
"82",8,8,11,8,8,0,NA,1108,24,71783.0249849172
"83",9,9,11,9,7,0,NA,1109,24,106662.076921791
"84",10,10,11,10,8,0,NA,1110,49,65502.4973644949
"85",11,11,11,11,10,0,NA,1111,181,117073.632066043
"86",12,12,11,12,7,0,NA,1112,24,42553.4808540643
"87",13,13,11,13,8,0,NA,1113,60,106308.700268052
"88",14,14,11,14,9,0,NA,1114,36,41998.7656446675
"89",15,15,11,15,0,0,NA,1115,24,102402.297161218
"90",1,1,12,1,12,0,NA,1201,149,112824.246825017
"91",2,2,12,2,10,0,NA,1202,90,35831.2383382277
"92",3,3,12,3,11,0,NA,1203,149,46417.0939572197
"93",4,4,12,4,8,0,NA,1204,169,7404.9474693886
"94",5,5,12,5,3,0,NA,1205,45,69810.4673980765
"95",6,6,12,6,11,0,NA,1206,45,12607.5695405674
"96",7,7,12,7,10,0,NA,1207,45,74443.5319771159
"97",8,8,12,8,3,0,NA,1208,152,56334.6221869473
"98",9,9,12,9,8,0,NA,1209,169,23233.9884632103
"99",1,1,13,1,11,0,NA,1301,137,56409.3771232082
"100",2,2,13,2,11,0,NA,1302,66,20789.0623070419
"101",3,3,13,3,9,0,NA,1303,137,11986.381029311
"102",4,4,13,4,9,0,NA,1304,112,23348.3659674578
"103",5,5,13,5,9,0,NA,1305,99,19932.4575848596
"104",6,6,13,6,7,0,NA,1306,125,26680.811823866
"105",7,7,13,7,9,0,NA,1307,125,41480.4704490052
"106",1,1,14,1,12,0,NA,1401,15,85021.5316090526
"107",2,2,14,2,10,0,NA,1402,12,104668.551589736
"108",3,3,14,3,10,0,NA,1403,58,115895.692873947
"109",4,4,14,4,7,0,NA,1404,58,24740.5839742818
"110",5,5,14,5,12,0,NA,1405,156,69667.2943782016
"111",6,6,14,6,7,0,NA,1406,58,23815.7236866103
"112",7,7,14,7,7,0,NA,1407,58,33942.4273896142
"113",8,8,14,8,7,0,NA,1408,58,22192.8593641281
"114",9,9,14,9,7,0,NA,1409,58,28919.0149232972
"115",10,10,14,10,7,0,NA,1410,58,5523.45385359948
"116",11,11,14,11,6,0,NA,1411,58,28639.3323456558
"117",12,12,14,12,8,0,NA,1412,58,23509.8072571489
"118",13,13,14,13,7,0,NA,1413,58,18036.9901494045
"119",14,14,14,14,7,0,NA,1414,58,21895.9352059002
"120",15,15,14,15,9,0,NA,1415,60,72390.5885543677
"121",16,16,14,16,7,0,NA,1416,58,28070.6873035157
"122",17,17,14,17,9,0,NA,1417,58,46963.9061266462
"123",18,18,14,18,10,0,NA,1418,141,37453.7821929587
"124",19,19,14,19,10,0,NA,1419,104,37880.0461298842
"125",20,20,14,20,0,0,NA,1420,58,54425.5221537135
"126",1,1,15,1,9,0,NA,1501,99,42080.4591333987
"127",2,2,15,2,8,0,NA,1502,41,22418.5491403987
"128",3,3,15,3,7,0,NA,1503,85,41443.5397939026
"129",4,4,15,4,7,0,NA,1504,68,21400.4138438503
"130",5,5,15,5,8,0,NA,1505,76,22358.1050151523
"131",6,6,15,6,7,0,NA,1506,41,13770.8017221541
"132",7,7,15,7,7,0,NA,1507,68,21122.1410954989
"133",8,8,15,8,7,0,NA,1508,41,12401.317205905
"134",9,9,15,9,8,0,NA,1509,116,10369.9372991549
"135",10,10,15,10,7,0,NA,1510,41,16255.473599215
"136",11,11,15,11,7,0,NA,1511,41,10719.1675010077
"137",12,12,15,12,7,0,NA,1512,22,20452.0979440596
"138",13,13,15,13,6,0,NA,1513,41,9864.64062459938
"139",14,14,15,14,7,0,NA,1514,68,13083.0422335847
"140",15,15,15,15,7,0,NA,1515,68,9877.06096987571
"141",17,17,15,17,7,0,NA,1517,41,7564.21194836795
"142",18,18,15,18,8,0,NA,1518,48,17727.3169923815
"143",16,16,15,16,7,0,NA,1516,41,4299.36879707292
"144",19,19,15,19,6,0,NA,1519,41,8584.32124111761
"145",20,20,15,20,6,0,NA,1520,41,8847.06616331128
"146",21,21,15,21,7,0,NA,1521,88,3652.15609240649
"147",22,22,15,22,7,0,NA,1522,68,4572.19462260031
"148",23,23,15,23,9,0,NA,1523,27,11986.0774252154
"149",24,24,15,24,6,0,NA,1524,68,3119.5819052273
"150",25,25,15,25,7,0,NA,1525,22,16297.3167517251
"151",26,26,15,26,7,0,NA,1526,27,21250.6749851511
"152",27,27,15,27,7,0,NA,1527,27,11204.613378713
"153",28,28,15,28,8,0,NA,1528,99,31282.8604749705
"154",29,29,15,29,6,0,NA,1529,22,10555.4141161636
"155",31,31,15,31,6,0,NA,1531,22,11762.7055053747
"156",30,30,15,30,6,0,NA,1530,76,13593.0140492759
"157",32,32,15,32,7,0,NA,1532,22,16498.9263482376
"158",33,33,15,33,8,0,NA,1533,88,14727.9862961262
"159",34,34,15,34,7,0,NA,1534,113,13088.4205249955
"160",35,35,15,35,8,0,NA,1535,35,8850.33559828955
"161",36,36,15,36,10,0,NA,1536,144,38883.0454080687
"162",37,37,15,37,7,0,NA,1537,68,28795.0065486705
"163",38,38,15,38,8,0,NA,1538,76,3506.30368133265
"164",39,39,15,39,7,0,NA,1539,22,15259.7291495295
"165",40,40,15,40,8,0,NA,1540,113,23389.5243995913
"166",41,41,15,41,0,0,NA,1541,41,25804.3044564141
"167",1,1,16,1,10,0,NA,1601,110,22483.1588029812
"168",2,2,16,2,9,0,NA,1602,49,60188.705067748
"169",3,3,16,3,10,0,NA,1603,49,66743.4375738497
"170",4,4,16,4,8,0,NA,1604,60,42146.821041651
"171",5,5,16,5,8,0,NA,1605,60,31123.6123114876
"172",6,6,16,6,9,0,NA,1606,21,34689.8412627369
"173",7,7,16,7,9,0,NA,1607,60,30519.9609919672
"174",8,8,16,8,7,0,NA,1608,49,38939.1631390882
"175",9,9,16,9,8,0,NA,1609,6,1335.83202710158
"176",10,10,16,10,7,0,NA,1610,49,20512.3839121099
"177",11,11,16,11,11,0,NA,1611,49,67953.6432244985
"178",12,12,16,12,11,0,NA,1612,146,75475.1384070002
"179",1,1,17,1,7,0,NA,1701,63,14185.9963949305
"180",2,2,17,2,7,0,NA,1702,42,23032.1076086756
"181",3,3,17,3,8,0,NA,1703,90,26182.1272125847
"182",4,4,17,4,8,0,NA,1704,90,22495.8251346445
"183",5,5,17,5,8,0,NA,1705,42,19832.638936303
"184",1,1,18,1,11,0,NA,1801,73,45553.0511334875
"185",2,2,18,2,7,0,NA,1802,15,84249.8802829386
"186",3,3,18,3,10,0,NA,1803,15,101415.425649506
"187",1,1,19,1,7,0,NA,1901,124,23944.7251096331
"188",2,2,19,2,7,0,NA,1902,23,21730.7076587831
"189",4,4,19,4,7,0,NA,1904,23,15564.7082684174
"190",3,3,19,3,7,0,NA,1903,23,28419.82539406
"191",5,5,19,5,7,0,NA,1905,23,23429.0244429206
"192",6,6,19,6,7,0,NA,1906,23,20034.4684656417
"193",7,7,19,7,7,0,NA,1907,40,88724.9948598922
"194",8,8,19,8,7,0,NA,1908,23,12212.7801763473
"195",9,9,19,9,13,0,NA,1909,14,68312.5862041997
"196",10,10,19,10,7,0,NA,1910,23,5642.90109496206
"197",11,11,19,11,7,0,NA,1911,23,6236.76953688365
"198",12,12,19,12,12,0,NA,1912,23,26723.7245273938
"199",1,1,20,1,9,0,NA,2001,142,106343.142308508
"200",2,2,20,2,11,0,NA,2002,142,51506.5805627488
"201",3,3,20,3,10,0,NA,2003,142,57703.4734897609
"202",4,4,20,4,10,0,NA,2004,107,26305.7785871549
"203",5,5,20,5,9,0,NA,2005,107,85499.9858336316
"204",6,6,20,6,11,0,NA,2006,121,52533.5127589559
"205",7,7,20,7,9,0,NA,2007,139,113112.065354821
"206",8,8,20,8,7,0,NA,2008,7,5678.64583202954
"207",9,9,20,9,10,0,NA,2009,61,33551.6292084126
"208",10,10,20,10,11,0,NA,2010,159,57894.8092537499
"209",1,1,21,1,10,0,NA,2101,112,31023.7204205591
"210",2,2,21,2,10,0,NA,2102,112,38458.169035377
"211",3,3,21,3,9,0,NA,2103,28,57501.6629334208
"212",4,4,21,4,10,0,NA,2104,9,39140.4673577055
"213",5,5,21,5,8,0,NA,2105,55,15498.9575724162
"214",6,6,21,6,7,0,NA,2106,70,14281.2368858095
"215",7,7,21,7,7,0,NA,2107,70,24765.1716182283
"216",8,8,21,8,8,0,NA,2108,83,31357.8125508646
"217",9,9,21,9,7,0,NA,2109,70,24466.1057969273
"218",10,10,21,10,7,0,NA,2110,106,29277.9429415517
"219",11,11,21,11,7,0,NA,2111,70,37139.7908846411
"220",12,12,21,12,7,0,NA,2112,70,28457.8359235657
"221",13,13,21,13,9,0,NA,2113,88,53757.6081091877
"222",14,14,21,14,10,0,NA,2114,121,82208.179286658
"223",15,15,21,15,7,0,NA,2115,9,52178.8008982119
"224",1,1,22,1,10,0,NA,2201,114,32156.1609748825
"225",2,2,22,2,8,0,NA,2202,36,41576.1403529805
"226",3,3,22,3,7,0,NA,2203,24,18746.5386750467
"227",4,4,22,4,7,0,NA,2204,24,3543.43374869169
"228",5,5,22,5,0,0,NA,2205,36,14184.1794013821
"229",1,1,23,1,10,0,NA,2301,80,31286.8894201228
"230",2,2,23,2,11,0,NA,2302,143,66048.2020831503
"231",3,3,23,3,7,0,NA,2303,31,11941.2244963672
"232",4,4,23,4,0,0,NA,2304,71,26167.4135285159
"233",1,1,24,1,4,0,NA,2401,96,98940.5984960962
"234",2,2,24,2,4,0,NA,2402,181,14550.7730843287
"235",3,3,24,3,4,0,NA,2403,126,52624.5864597368
"236",4,4,24,4,4,0,NA,2404,93,19211.0548373256
"237",5,5,24,5,1,0,NA,2405,180,44497.1033884053
"238",6,6,24,6,1,0,NA,2406,180,22983.8614689228
"239",7,7,24,7,4,0,NA,2407,114,66254.3743010894
"240",1,1,25,1,13,0,NA,2501,150,71189.9389291791
"241",2,2,25,2,8,0,NA,2502,89,125290.889975562
"242",3,3,25,3,9,0,NA,2503,168,98160.5598070725
"243",4,4,25,4,9,0,NA,2504,89,93473.0495958169
"244",5,5,25,5,8,0,NA,2505,151,121611.8043052
"245",6,6,25,6,12,0,NA,2506,151,37058.3190474353
"246",7,7,25,7,8,0,NA,2507,151,119831.983569921
"247",1,1,26,1,12,0,NA,2601,39,141151.695726198
"248",2,2,26,2,10,0,NA,2602,176,98541.9973243199
"249",3,3,26,3,8,0,NA,2603,53,107365.020904526
"250",4,4,26,4,13,0,NA,2604,176,121870.736778478
"251",5,5,26,5,9,0,NA,2605,53,122524.681072119
"252",6,6,26,6,8,0,NA,2606,89,140518.349492269
"253",7,7,26,7,9,0,NA,2607,89,56620.6703633594
"254",1,1,27,1,10,0,NA,2701,81,46567.0647162302
"255",2,2,27,2,9,0,NA,2702,139,109014.301816816
"256",3,3,27,3,8,0,NA,2703,138,88948.0158503001
"257",4,4,27,4,7,0,NA,2704,138,42088.3396605709
"258",5,5,27,5,9,0,NA,2705,138,29788.1670988742
"259",6,6,27,6,9,0,NA,2706,138,78596.7589922381
"260",1,1,28,1,8,0,NA,2801,40,154838.837280772
"261",2,2,28,2,7,0,NA,2802,40,67119.238267891
"262",3,3,28,3,12,0,NA,2803,133,50833.1159579397
"263",4,4,28,4,7,0,NA,2804,133,101044.426411408
"264",5,5,28,5,10,0,NA,2805,173,117132.107517018
"265",6,6,28,6,12,0,NA,2806,173,32695.2159453389
"266",7,7,28,7,8,0,NA,2807,148,83966.6811547281
"267",8,8,28,8,7,0,NA,2808,148,106740.383992021
"268",9,9,28,9,0,0,NA,2809,133,117767.321843822
"269",1,1,29,1,8,0,NA,2901,70,26296.9132330572
"270",2,2,29,2,7,0,NA,2902,70,11936.3548676438
"271",3,3,29,3,8,0,NA,2903,106,21617.0419496101
"272",1,1,30,1,11,0,NA,3001,97,101012.252063743
"273",2,2,30,2,12,0,NA,3002,137,77603.8863651885
"274",3,3,30,3,9,0,NA,3003,97,50767.0372952382
"275",4,4,30,4,7,0,NA,3004,167,26917.3016905649
"276",5,5,30,5,8,0,NA,3005,112,73735.6901087841
"277",6,6,30,6,9,0,NA,3006,28,87417.7078405527
"278",7,7,30,7,9,0,NA,3007,28,47793.2301413062
"279",8,8,30,8,10,0,NA,3008,28,53697.130165741
"280",9,9,30,9,9,0,NA,3009,28,5304.04968175799
"281",10,10,30,10,7,0,NA,3010,28,25083.7961186145
"282",11,11,30,11,7,0,NA,3011,182,85620.6780401463
"283",12,12,30,12,7,0,NA,3012,167,31268.4041111124
"284",13,13,30,13,11,0,NA,3013,167,57964.7554192133
"285",14,14,30,14,11,0,NA,3014,139,107526.423134912
"286",15,15,30,15,8,0,NA,3015,83,17398.8996269083
"287",16,16,30,16,8,0,NA,3016,9,37305.9409566589
"288",17,17,30,17,11,0,NA,3017,182,82384.9989115918
"289",18,18,30,18,10,0,NA,3018,9,28831.107151788
"290",19,19,30,19,9,0,NA,3019,182,49863.3350170288
"291",20,20,30,20,10,0,NA,3020,182,42133.3414740873
"292",1,1,31,1,11,0,NA,3101,80,74686.6728864181
"293",2,2,31,2,9,0,NA,3102,170,8573.2143066772
"294",3,3,31,3,7,0,NA,3103,170,24001.0320774008
"295",4,4,31,4,7,0,NA,3104,170,3760.67860101548
"296",5,5,31,5,9,0,NA,3105,170,88316.5814301492
"297",1,1,32,1,4,0,NA,3201,91,66071.8224066828
"298",2,2,32,2,4,0,NA,3202,12,75739.4760393515
"299",3,3,32,3,3,0,NA,3203,96,116617.750043553
"300",4,4,32,4,3,0,NA,3204,12,73079.9011107714
